location,company,ad_date,salary,role,title,job_description,work_type,url
Sydney,Opus Recruitment Solutions,17h ago,AUD 150000 - 170000 per annum,backend-engineer,Senior Back End Engineer - Node.js,"Cyber Security | Fully Remote | Node.js 
 []",Full time,https://www.seek.com.au/job/72286339
Perth,Professional Search Group,7d ago,Competitive,node-js-software-developer,Typescript/Node Developer,"Opportunity to work in highly dynamic and collaborative environment, great work culture, with plenty of WFH! 
 []",Contract/Temp,https://www.seek.com.au/job/72134316
Sydney,TheDriveGroup,11d ago,,javascript-developer,Mid-Level JavaScript Developer - Generative AI Start-Up,"Join a well-funded, next-generation AI platform to develop a new project with a diverse and experienced team of engineers. 
 []",Full time,https://www.seek.com.au/job/72074130
Sydney,The Onset,4d ago,"AUD 120000 - 150000 per annum, super + share optio",javascript-software-engineer,Senior JavaScript Engineer,"Fancy joining a design company, using AI to create brands for small businesses? 
 [Design scale-up Pushing into artificial intelligence Tech Stack - React, Vue, Node.js]",Full time,https://www.seek.com.au/job/72223777
Sydney,Opus Recruitment Solutions,17h ago,AUD 150000 - 160000 per annum,full-stack-developer,Lead Full Stack Developer - Svelte and Node,"Lead Opportunity | Modern Tech Stack 
 []",Full time,https://www.seek.com.au/job/72286266
Melbourne,Kmart,21d ago,,engineer,Senior Engineer - NodeJS & Spring Boot,"To discover what a career looks like as a Senior Engineer at Kmart Australia, apply now! 
 [Brighter Futures start here Be part of a dynamic team shaping the future of stores technology Create a digitally enabled retail experience for our digital stores initiatives]",Full time,https://www.seek.com.au/job/71822337
Melbourne,,19d ago,,full-stack-software-engineer,Senior Full Stack Engineer :: 12 Month Day Rate Contract Opportunity,"TypeScript :: React :: AWS :: GraphQL :: Node :: 12 month contract opportunity with a view to extend 
 []",Contract/Temp,https://www.seek.com.au/job/71884136
Sydney,,8d ago,,full-stack-developer,Senior Full Stack Developer :: 12 Month Day Rate Contract Opportunity,"TypeScript :: React :: AWS :: GraphQL :: Node :: 12 month contract opportunity with a view to extend 
 []",Contract/Temp,https://www.seek.com.au/job/72108872
Sydney,The Recruitment Company,5d ago,,developer,"Senior Developer (Node, React, AWS)","Innovative Senior Software Engineer opportunity. Brand new product development with AI technology 
 [Senior Developer (Node, React, AWS) Innovative Fintech Greenfield Product Development]",Full time,https://www.seek.com.au/job/72210293
Melbourne,FRG Technology Consulting,18h ago,$180k - $200k p.a.,full-stack-software-engineer,Lead Full Stack Engineer,"Join a locally founded SaaS organisation to lead and implement web applications and SaaS solutions through frameworks including ReactJS and NodeJS. 
 [Centralised office location in the Melbourne CBD Diverse industry exposure across Financial Services, Manufacuring, etc. Work in partnership with a passionate team of Engineers]",Full time,https://www.seek.com.au/job/72285175
